Gauge_ID   Storm_Index  Input_Units   Output_Units   Energy_Equation   Storm_Break_Hours   Storm_Break_Precip   Start_Date   Start_Time   Duration(hrs)   Precip(in)   Max_5_start_date    Max_5_start_time    Max_5_intensity     Max_10_start_date   Max_10_start_time   Max_10_intensity    Max_15_start_date   Max_15_start_time   Max_15_intensity    Max_20_start_date   Max_20_start_time   Max_20_intensity    Max_30_start_date   Max_30_start_time   Max_30_intensity    Max_60_start_date   Max_60_start_time   Max_60_intensity    Energy
CSV        20           0             0              2                 6                   0.05                 07/31/2021   14:18:00     2.633333        0.04         07/31/2021          16:57:00            0.12                07/31/2021          16:52:00            0.05999999          07/31/2021          14:24:00            0.04                07/31/2021          16:42:00            0.03                07/31/2021          14:24:00            0.04                07/31/2021          14:24:00            0.02                19.30
CSV        21           0             0              2                 6                   0.05                 08/02/2021   14:44:00     3.766667        0.99         08/02/2021          15:09:00            3.48                08/02/2021          15:08:00            2.22                08/02/2021          15:06:00            1.586667            08/02/2021          15:02:00            1.224               08/02/2021          15:06:00            0.8933333           08/02/2021          15:08:00            0.605               797.26
CSV        22           0             0              2                 6                   0.05                 08/03/2021   09:28:00     12.58333        0.4          08/03/2021          18:17:00            0.3                 08/03/2021          18:12:00            0.27                08/03/2021          18:07:00            0.2533333           08/03/2021          18:05:00            0.2325              08/03/2021          18:05:00            0.205               08/03/2021          17:48:00            0.16                208.07
CSV        23           0             0              2                 6                   0.05                 08/06/2021   11:46:00     10.91667        0.41         08/06/2021          15:22:00            0.792               08/06/2021          17:49:00            0.62                08/06/2021          17:49:00            0.47                08/06/2021          17:45:00            0.384               08/06/2021          17:41:00            0.28                08/06/2021          17:44:00            0.17                295.10
CSV        24           0             0              2                 6                   0.05                 08/13/2021   15:07:00     0.15            0.03         08/13/2021          15:17:00            0.264               08/13/2021          15:07:00            0.18                08/13/2021          15:07:00            0.12                08/13/2021          15:07:00            0.09                08/13/2021          15:07:00            0.06                08/13/2021          15:07:00            0.03                18.33
CSV        25           0             0              2                 6                   0.05                 08/14/2021   18:13:00     0.08347222      0.01         08/14/2021          18:19:00            0.12                08/14/2021          18:13:00            0.05999999          08/14/2021          18:13:00            0.04                08/14/2021          18:13:00            0.03                08/14/2021          18:13:00            0.02                08/14/2021          18:13:00            0.01                0.00
CSV        26           0             0              2                 6                   0.05                 08/15/2021   15:03:00     0.08347222      0.01         08/15/2021          15:09:00            0.12                08/15/2021          15:03:00            0.05999999          08/15/2021          15:03:00            0.04                08/15/2021          15:03:00            0.03                08/15/2021          15:03:00            0.02                08/15/2021          15:03:00            0.01                0.00
CSV        27           0             0              2                 6                   0.05                 08/16/2021   14:31:00     2.766667        0.75         08/16/2021          14:59:00            1.44                08/16/2021          14:54:00            1.14                08/16/2021          14:49:00            1.12                08/16/2021          14:49:00            1.02                08/16/2021          14:49:00            0.88                08/16/2021          14:37:00            0.59                600.43
CSV        28           0             0              2                 6                   0.05                 08/17/2021   14:12:00     0.1833333       0.04         08/17/2021          14:24:00            0.32                08/17/2021          14:19:00            0.228               08/17/2021          14:12:00            0.16                08/17/2021          14:12:00            0.12                08/17/2021          14:12:00            0.08                08/17/2021          14:12:00            0.04                26.06
CSV        29           0             0              2                 6                   0.05                 08/17/2021   20:31:00     0.08347222      0.01         08/17/2021          20:37:00            0.12                08/17/2021          20:31:00            0.05999999          08/17/2021          20:31:00            0.04                08/17/2021          20:31:00            0.03                08/17/2021          20:31:00            0.02                08/17/2021          20:31:00            0.01                0.00
CSV        30           0             0              2                 6                   0.05                 08/18/2021   16:30:00     5.383333        0.13         08/18/2021          21:20:00            0.48                08/18/2021          21:15:00            0.432               08/18/2021          21:10:00            0.32                08/18/2021          21:05:00            0.24                08/18/2021          21:11:00            0.176               08/18/2021          20:59:00            0.12                86.99
CSV        31           0             0              2                 6                   0.05                 08/19/2021   07:29:00     2.483333        0.12         08/19/2021          08:36:00            0.15                08/19/2021          08:31:00            0.144               08/19/2021          08:26:00            0.12                08/19/2021          08:28:00            0.12                08/19/2021          08:19:00            0.09999999          08/19/2021          08:07:00            0.06999999          58.65
CSV        32           0             0              2                 6                   0.05                 08/19/2021   16:08:00     14.61667        0.32         08/19/2021          17:43:00            0.288               08/19/2021          17:40:00            0.18                08/19/2021          16:20:00            0.152               08/19/2021          16:15:00            0.144               08/20/2021          00:20:00            0.124               08/20/2021          00:16:00            0.104               163.60
CSV        33           0             0              2                 6                   0.05                 08/21/2021   13:55:00     0.35            0.02         08/21/2021          14:17:00            0.12                08/21/2021          14:12:00            0.05999999          08/21/2021          14:01:00            0.04                08/21/2021          14:01:00            0.054               08/21/2021          13:55:00            0.04                08/21/2021          13:55:00            0.02                9.65
CSV        34           0             0              2                 6                   0.05                 08/26/2021   09:54:00     1.4             0.15         08/26/2021          10:20:00            0.48                08/26/2021          10:20:00            0.44                08/26/2021          10:18:00            0.38                08/26/2021          10:13:00            0.33                08/26/2021          10:03:00            0.268               08/26/2021          10:00:00            0.14                102.60
CSV        35           0             0              2                 6                   0.05                 08/26/2021   20:07:00     3.95            0.29         08/26/2021          20:44:00            0.6                 08/26/2021          20:43:00            0.48                08/26/2021          20:43:00            0.4266666           08/26/2021          20:29:00            0.405               08/26/2021          20:20:00            0.4                 08/26/2021          20:13:00            0.27                214.22
CSV        36           0             0              2                 6                   0.05                 09/01/2021   17:26:00     1.866667        0.1          09/01/2021          17:59:00            0.144               09/01/2021          17:54:00            0.12                09/01/2021          17:55:00            0.104               09/01/2021          17:44:00            0.09                09/01/2021          17:42:00            0.08                09/01/2021          17:45:00            0.05999999          48.62
