DateTime,stage_cm,manual_stage_cm,discharge_Ls,stage_corr_cm,Discharge_Ls
2021-01-10T09:30:00Z,4.792666200996118,NA,NA,4.792666200996118,2.1745729138739085
2021-01-10T09:45:00Z,4.374582553675212,NA,NA,4.374582553675212,1.7606683767438815
2021-01-10T10:00:00Z,5.700213630546435,NA,NA,5.700213630546435,3.2232834979727047
2021-01-10T10:15:00Z,5.6594249820274145,NA,NA,5.6594249820274145,3.1717355841043915
2021-01-10T10:30:00Z,4.955820795072636,NA,NA,4.955820795072636,2.347938832048318
2021-01-10T10:45:00Z,4.874243498034305,NA,NA,4.874243498034305,2.260424841637001
2021-01-10T11:00:00Z,4.884440660164133,NA,NA,4.884440660164133,2.271273196387388
2021-01-10T11:15:00Z,5.139369713408666,NA,NA,5.139369713408666,2.5509222270305574
2021-01-10T11:30:00Z,5.251538496836191,NA,NA,5.251538496836191,2.6791098068309407
2021-01-10T11:45:00Z,5.139369713408666,NA,NA,5.139369713408666,2.5509222270305574
2021-01-10T12:00:00Z,5.241341334706363,NA,NA,5.241341334706363,2.6673265418410104
2021-01-10T12:15:00Z,5.45548173943173,NA,NA,5.45548173943173,2.920228749692358
2021-01-10T12:30:00Z,5.445284577302047,NA,NA,5.445284577302047,2.9079260901250774
2021-01-10T12:45:00Z,5.210749848317169,NA,NA,5.210749848317169,2.632132565244808
2021-01-10T13:00:00Z,5.343312956004205,NA,NA,5.343312956004205,2.7863278295392373
2021-01-10T13:15:00Z,5.322918631744694,NA,NA,5.322918631744694,2.7623198141686514
2021-01-10T13:30:00Z,5.404495928782881,NA,NA,5.404495928782881,2.858975149144193
2021-01-10T13:45:00Z,5.4350874151722195,NA,NA,5.4350874151722195,2.895649400286499
2021-01-10T14:00:00Z,5.4350874151722195,NA,NA,5.4350874151722195,2.895649400286499
2021-01-10T14:15:00Z,5.2617356589660185,NA,NA,5.2617356589660185,2.6909190415497473
2021-01-10T14:30:00Z,5.363707280263861,NA,NA,5.363707280263861,2.8104397238255
2021-01-10T14:45:00Z,5.282129983225529,NA,NA,5.282129983225529,2.7146154201738217
2021-01-10T15:00:00Z,5.241341334706363,NA,NA,5.241341334706363,2.6673265418410104
2021-01-10T15:15:00Z,5.577847684989227,NA,NA,5.577847684989227,3.069886303353632
2021-01-10T15:30:00Z,5.4350874151722195,NA,NA,5.4350874151722195,2.895649400286499
2021-01-10T15:45:00Z,5.475876063691386,NA,NA,5.475876063691386,2.944911978013897
2021-01-10T16:00:00Z,5.32291863174455,NA,NA,5.32291863174455,2.762319814168481
2021-01-10T16:15:00Z,5.282129983225529,NA,NA,5.282129983225529,2.7146154201738217
2021-01-10T16:30:00Z,5.241341334706363,NA,NA,5.241341334706363,2.6673265418410104
2021-01-10T16:45:00Z,5.292327145355356,NA,NA,5.292327145355356,2.7265025640792566
2021-01-10T17:00:00Z,5.027200929980996,NA,NA,5.027200929980996,2.4258769844240198
2021-01-10T17:15:00Z,4.9864122814618295,NA,NA,4.9864122814618295,2.3811850789788207
2021-01-10T17:30:00Z,4.731483228217442,NA,NA,4.731483228217442,2.111274696664348
2021-01-10T17:45:00Z,4.843652011645111,NA,NA,4.843652011645111,2.2280355957594042
2021-01-10T18:00:00Z,4.619314444789917,NA,NA,4.619314444789917,1.9976561347634476
2021-01-10T18:15:00Z,4.547934309881413,NA,NA,4.547934309881413,1.9269895064728986
2021-01-10T18:30:00Z,4.588722958400579,NA,NA,4.588722958400579,1.967214618551405
2021-01-10T18:45:00Z,4.364385391545384,NA,NA,4.364385391545384,1.751118508437306
2021-01-10T19:00:00Z,4.374582553675212,NA,NA,4.374582553675212,1.7606683767438815
2021-01-10T19:15:00Z,4.272610932377369,NA,NA,4.272610932377369,1.6663383314779545
2021-01-10T19:30:00Z,4.160442148949844,NA,NA,4.160442148949844,1.5655747853707163
2021-01-10T19:45:00Z,4.2624137702476865,NA,NA,4.2624137702476865,1.6570481604602727
2021-01-10T20:00:00Z,4.252216608117859,NA,NA,4.252216608117859,1.6477839591713355
2021-01-10T20:15:00Z,4.129850662560506,NA,NA,4.129850662560506,1.5386391825569465
2021-01-10T20:30:00Z,4.119653500430679,NA,NA,4.119653500430679,1.5297125877434001
2021-01-10T20:45:00Z,4.119653500430679,NA,NA,4.119653500430679,1.5297125877434001
2021-01-10T21:00:00Z,3.9055130957054565,NA,NA,3.9055130957054565,1.3482531040303067
2021-01-10T21:15:00Z,3.925907419964967,NA,NA,3.925907419964967,1.365041534773356
2021-01-10T21:30:00Z,3.9972875548733264,NA,NA,3.9972875548733264,1.4246190888336843
2021-01-10T21:45:00Z,4.231822283858349,NA,NA,4.231822283858349,1.6293334657802196
2021-01-10T22:00:00Z,4.099259176171168,NA,NA,4.099259176171168,1.5119373073030622
2021-01-10T22:15:00Z,4.201230797469011,NA,NA,4.201230797469011,1.6018524986600522
2021-01-10T22:30:00Z,3.84433012292678,NA,NA,3.84433012292678,1.298511085294065
2021-01-10T22:45:00Z,3.9564989063541605,NA,NA,3.9564989063541605,1.39041895385444
2021-01-10T23:00:00Z,3.987090392743643,NA,NA,3.987090392743643,1.4160301004956504
2021-01-10T23:15:00Z,3.8851187714458013,NA,NA,3.8851187714458013,1.331568552202643
2021-01-10T23:30:00Z,3.7525556637586206,NA,NA,3.7525556637586206,1.2256510138887249
2021-01-10T23:45:00Z,3.7525556637586206,NA,NA,3.7525556637586206,1.2256510138887249
2021-01-11T00:00:00Z,3.7729499880182766,NA,NA,3.7729499880182766,1.2416603527656072
