Gauge_ID   Storm_Index  Input_Units   Output_Units   Energy_Equation   Storm_Break_Hours   Storm_Break_Precip   Start_Date   Start_Time   Duration(hrs)   Precip(in)   Max_5_start_date    Max_5_start_time    Max_5_intensity     Max_10_start_date   Max_10_start_time   Max_10_intensity    Max_15_start_date   Max_15_start_time   Max_15_intensity    Max_20_start_date   Max_20_start_time   Max_20_intensity    Max_30_start_date   Max_30_start_time   Max_30_intensity    Max_60_start_date   Max_60_start_time   Max_60_intensity    Energy
CSV        20           0             0              2                 6                   0.05                 01/19/2021   13:00:00     2.15            0.18         01/19/2021          13:17:00            0.3                 01/19/2021          13:12:00            0.27                01/19/2021          13:11:00            0.24                01/19/2021          13:11:00            0.222               01/19/2021          13:06:00            0.18                01/19/2021          13:06:00            0.15                99.49
CSV        21           0             0              2                 6                   0.05                 01/20/2021   11:22:00     0.08347222      0.01         01/20/2021          11:28:00            0.12                01/20/2021          11:22:00            0.05999999          01/20/2021          11:22:00            0.04                01/20/2021          11:22:00            0.03                01/20/2021          11:22:00            0.02                01/20/2021          11:22:00            0.01                0.00
CSV        22           0             0              2                 6                   0.05                 01/28/2021   13:36:00     1.65            0.15         01/28/2021          14:39:00            0.144               01/28/2021          13:57:00            0.135               01/28/2021          13:52:00            0.136               01/28/2021          13:47:00            0.12                01/28/2021          13:48:00            0.12                01/28/2021          13:44:00            0.106               73.87
CSV        23           0             0              2                 6                   0.05                 01/29/2021   10:59:00     2.1             0.1          01/29/2021          11:28:00            0.24                01/29/2021          11:23:00            0.12                01/29/2021          12:47:00            0.09599999          01/29/2021          12:47:00            0.09599999          01/29/2021          12:41:00            0.08                01/29/2021          11:28:00            0.05                54.42
CSV        24           0             0              2                 6                   0.05                 01/31/2021   11:23:00     0.9             0.08         01/31/2021          12:00:00            0.32                01/31/2021          11:56:00            0.228               01/31/2021          12:00:00            0.2                 01/31/2021          11:55:00            0.18                01/31/2021          11:53:00            0.14                01/31/2021          11:23:00            0.08                52.82
CSV        25           0             0              2                 6                   0.05                 02/22/2021   14:48:00     0.08347222      0.01         02/22/2021          14:54:00            0.12                02/22/2021          14:48:00            0.05999999          02/22/2021          14:48:00            0.04                02/22/2021          14:48:00            0.03                02/22/2021          14:48:00            0.02                02/22/2021          14:48:00            0.01                0.00
CSV        26           0             0              2                 6                   0.05                 03/02/2021   16:44:00     1.3             0.04         03/02/2021          18:03:00            0.12                03/02/2021          16:50:00            0.12                03/02/2021          16:50:00            0.08                03/02/2021          16:50:00            0.05999999          03/02/2021          16:50:00            0.048               03/02/2021          16:50:00            0.03                19.30
CSV        27           0             0              2                 6                   0.05                 03/03/2021   14:04:00     3.016667        0.13         03/03/2021          16:31:00            0.168               03/03/2021          16:28:00            0.12                03/03/2021          15:07:00            0.08                03/03/2021          15:48:00            0.09                03/03/2021          15:28:00            0.08                03/03/2021          15:37:00            0.06999999          63.67
CSV        28           0             0              2                 6                   0.05                 03/05/2021   13:32:00     4.033333        0.36         03/05/2021          15:41:00            0.21                03/05/2021          15:36:00            0.18                03/05/2021          15:31:00            0.16                03/05/2021          15:26:00            0.162               03/05/2021          15:33:00            0.152               03/05/2021          15:18:00            0.1425              184.51
CSV        29           0             0              2                 6                   0.05                 03/06/2021   11:47:00     4.983333        0.17         03/06/2021          16:47:00            0.12                03/06/2021          14:23:00            0.108               03/06/2021          14:19:00            0.08                03/06/2021          14:23:00            0.09                03/06/2021          15:05:00            0.08                03/06/2021          14:58:00            0.06599999          82.03
